AS|0|Lagna  | 0| 0| 0| 0| 0| 0.00| 0.00|
Su|1|Surya  | 1| 7| 5| 5| 5| 4.00|20.00|
Mo|2|Chandra| 2|10| 4| 4| 2| 4.00|20.00|
Ma|3|Mangala|10| 4| 1| 8| 1| 0.00|12.00|
Me|4|Budha  | 6|12| 3| 6| 6|16.00|20.00|
Jp|5|Guru   | 4|10| 9|12| 9| 0.00|10.00|
Ve|6|Sukra  |12| 6| 2| 7| 7| 0.00|15.00|
Sa|7|Sani   | 7| 1|10|11|11| 0.00|20.00|
Ra|8|Rahu   | 3| 9|11|11| 0| 0.00| 0.00|
Ke|9|Ketu   | 9| 3| 8| 8| 0| 0.00| 0.00|
